symbol,date,open,high,low,close,volume
0005.HK,2021-09-17,39.7,40.4,39.1,40.25,28266370
0700.HK,2021-09-17,445.8,467.6,445.2,461.8,23982628
1810.HK,2021-09-17,22.8,23.15,22.55,23.0,78903856
3690.HK,2021-09-17,230.8,243.8,228.4,240.8,19870460
9988.HK,2021-09-17,150.6,155.7,150.2,154.9,30179321
AAPL.US,2021-09-17,148.82,148.82,145.76,146.06,129868824
BABA.US,2021-09-17,158.48,160.38,158.09,160.05,25543294
JPM.US,2021-09-17,157.38,159.01,157.0,157.68,25608018
KO.US,2021-09-17,55.02,55.19,54.37,54.44,33383192
MSFT.US,2021-09-17,304.17,304.5,299.53,299.87,41372457
XOM.US,2021-09-17,55.34,56.75,55.1,55.16,30034434
0005.HK,2021-09-20,39.9,39.95,38.95,39.0,23796781
0700.HK,2021-09-20,456.6,457.4,448.0,454.2,15513224
1810.HK,2021-09-20,22.9,22.95,21.65,22.8,111749232
3690.HK,2021-09-20,237.0,237.4,230.4,234.6,11665337
9988.HK,2021-09-20,154.2,154.3,150.7,151.5,17981515
AAPL.US,2021-09-20,143.8,144.84,141.27,142.94,123478863
BABA.US,2021-09-20,154.4,155.14,149.09,151.49,36177471
JPM.US,2021-09-20,153.89,154.56,150.49,152.96,15819905
KO.US,2021-09-20,54.11,54.4,53.73,54.06,27542450
MSFT.US,2021-09-20,296.33,298.72,289.52,294.3,38278661
XOM.US,2021-09-20,53.78,54.17,52.96,53.69,27555060
0005.HK,2021-09-21,38.35,39.0,38.3,38.8,18117762
0700.HK,2021-09-21,446.0,453.8,443.2,450.0,16556875
1810.HK,2021-09-21,22.5,23.2,22.1,23.1,64864934
3690.HK,2021-09-21,230.0,232.0,224.8,230.6,18293893
9988.HK,2021-09-21,146.0,149.5,145.5,148.7,23944111
AAPL.US,2021-09-21,143.93,144.6,142.78,143.43,75833962
BABA.US,2021-09-21,151.58,152.58,149.57,150.18,19494706
JPM.US,2021-09-21,153.53,154.55,152.58,152.98,8999860
KO.US,2021-09-21,54.39,54.82,53.94,54.05,16418161
MSFT.US,2021-09-21,295.69,297.54,294.07,294.8,22364103
XOM.US,2021-09-21,54.37,54.51,53.25,53.64,19696793
AAPL.US,2021-09-22,144.45,146.43,143.7,145.85,76404341
BABA.US,2021-09-22,151.47,154.0,151.02,151.89,19832038
JPM.US,2021-09-22,155.2,157.25,155.1,155.91,11236150
KO.US,2021-09-22,54.51,54.56,54.06,54.13,12719723
MSFT.US,2021-09-22,296.73,300.22,294.51,298.58,26626342
XOM.US,2021-09-22,54.43,55.91,54.37,55.21,25690630
0005.HK,2021-09-23,39.3,39.95,39.2,39.75,20518033
0700.HK,2021-09-23,460.2,469.6,456.4,463.2,22210868
1810.HK,2021-09-23,23.4,23.45,21.95,22.5,183811121
3690.HK,2021-09-23,238.0,247.8,237.0,242.6,28399235
9988.HK,2021-09-23,148.0,150.8,146.4,148.4,32529431
AAPL.US,2021-09-23,146.65,147.08,145.64,146.83,64838170
BABA.US,2021-09-23,152.58,152.68,149.61,151.19,24707475
JPM.US,2021-09-23,158.0,161.71,157.67,161.18,12336136
KO.US,2021-09-23,54.26,54.62,54.0,54.04,13836215
MSFT.US,2021-09-23,298.85,300.9,297.53,299.56,18604601
XOM.US,2021-09-23,55.42,57.24,55.28,57.08,23069407
0005.HK,2021-09-24,40.2,40.8,39.7,39.7,19052618
0700.HK,2021-09-24,461.4,473.4,456.2,460.2,16656914
1810.HK,2021-09-24,22.25,22.65,21.95,22.1,112602010
3690.HK,2021-09-24,242.2,252.0,241.2,244.6,23980206
9988.HK,2021-09-24,146.7,148.3,143.8,144.3,30354881
AAPL.US,2021-09-24,145.66,147.47,145.56,146.92,53477869
BABA.US,2021-09-24,147.71,148.0,144.57,145.08,32067359
JPM.US,2021-09-24,161.44,163.59,160.82,163.04,10102432
KO.US,2021-09-24,54.0,54.24,53.86,53.89,9682234
MSFT.US,2021-09-24,298.23,299.8,296.93,299.35,14998978
XOM.US,2021-09-24,56.7,57.82,56.68,57.59,22328565
0005.HK,2021-09-27,40.0,41.1,40.0,40.3,20332913
0700.HK,2021-09-27,459.0,473.0,455.2,464.6,17966998
1810.HK,2021-09-27,21.9,22.15,20.8,21.75,190832787
3690.HK,2021-09-27,243.2,256.8,243.2,248.4,22688044
9988.HK,2021-09-27,142.2,145.5,141.2,141.9,31609172
AAPL.US,2021-09-27,145.47,145.96,143.82,145.37,74150729
BABA.US,2021-09-27,144.92,150.99,144.44,150.18,24287443
JPM.US,2021-09-27,165.0,167.4,164.61,166.98,13220871
KO.US,2021-09-27,53.85,54.25,53.57,53.61,12429466
MSFT.US,2021-09-27,296.14,296.47,292.94,294.17,23571742
XOM.US,2021-09-27,58.85,59.8,58.82,59.3,32972244
0005.HK,2021-09-28,41.25,41.25,40.6,40.85,29545281
0700.HK,2021-09-28,467.0,476.2,464.6,469.8,20947276
1810.HK,2021-09-28,21.8,22.2,21.5,21.9,116485810
3690.HK,2021-09-28,252.0,256.8,249.2,251.8,20017062
9988.HK,2021-09-28,145.4,153.0,144.5,150.9,42597994
AAPL.US,2021-09-28,143.25,144.75,141.69,141.91,108972340
BABA.US,2021-09-28,152.16,153.73,148.86,152.39,26299630
JPM.US,2021-09-28,167.7,169.3,165.66,166.08,13387886
KO.US,2021-09-28,53.46,53.46,52.43,52.64,19926090
MSFT.US,2021-09-28,289.8,290.78,282.75,283.52,43186237
XOM.US,2021-09-28,59.9,60.48,59.51,59.92,37619271
0005.HK,2021-09-29,40.5,41.6,40.3,41.25,30287737
0700.HK,2021-09-29,461.6,465.0,450.2,465.0,18250450
1810.HK,2021-09-29,21.5,22.0,21.1,22.0,67715627
3690.HK,2021-09-29,245.0,250.8,238.0,250.0,13265074
9988.HK,2021-09-29,148.3,149.3,145.5,148.3,24903515
AAPL.US,2021-09-29,142.47,144.45,142.03,142.83,74602044
BABA.US,2021-09-29,150.46,152.1,147.48,147.58,17361309
JPM.US,2021-09-29,166.21,166.9,165.04,165.95,7777078
KO.US,2021-09-29,52.64,53.16,52.56,52.96,13941474
MSFT.US,2021-09-29,285.1,286.77,283.01,284.0,26353696
XOM.US,2021-09-29,59.84,60.19,59.05,59.88,23422802
0005.HK,2021-09-30,41.0,41.3,40.6,40.95,13928675
0700.HK,2021-09-30,456.0,464.6,453.8,461.4,17335451
1810.HK,2021-09-30,21.4,21.55,21.2,21.35,80371264
3690.HK,2021-09-30,243.0,248.4,241.6,246.6,12907162
9988.HK,2021-09-30,144.9,144.9,141.0,142.2,38043224
AAPL.US,2021-09-30,143.66,144.38,141.3,141.5,89057154
BABA.US,2021-09-30,147.03,149.58,146.86,148.05,14291489
JPM.US,2021-09-30,166.92,166.99,162.79,163.69,13168016
KO.US,2021-09-30,53.17,53.33,52.43,52.47,17674372
MSFT.US,2021-09-30,285.71,287.83,281.62,281.92,32343641
XOM.US,2021-09-30,60.12,60.17,58.81,58.82,31289624
AAPL.US,2021-10-01,141.9,142.92,139.11,142.65,94639581
