symbol,date,open,high,low,close,volume
0857.HK,2021-09-17,3.75,3.83,3.66,3.8,244553356
2318.HK,2021-09-17,56.5,56.85,52.5,54.5,105298669
2628.HK,2021-09-17,13.0,13.04,12.74,12.94,60881722
2899.HK,2021-09-17,10.78,10.84,10.42,10.64,73066800
3968.HK,2021-09-17,63.6,64.25,63.15,63.45,31549810
BAC.US,2021-09-17,40.34,40.67,40.08,40.5,92752611
DIS.US,2021-09-17,182.91,185.9,182.73,183.47,10039204
PG.US,2021-09-17,144.37,146.28,144.23,144.34,18738769
0857.HK,2021-09-20,3.77,3.78,3.6,3.69,153617086
2318.HK,2021-09-20,51.55,51.9,49.9,51.35,80351181
2628.HK,2021-09-20,12.7,12.7,12.22,12.44,47746337
2899.HK,2021-09-20,10.38,10.42,9.86,10.2,46700798
3968.HK,2021-09-20,62.0,62.6,56.05,57.5,60581780
BAC.US,2021-09-20,39.38,39.46,38.36,39.11,67566156
DIS.US,2021-09-20,179.74,180.88,176.55,178.61,8056648
PG.US,2021-09-20,144.22,144.85,141.97,142.89,10238721
0857.HK,2021-09-21,3.65,3.74,3.6,3.72,109069471
2318.HK,2021-09-21,50.35,53.45,49.0,52.6,100273185
2628.HK,2021-09-21,12.3,12.6,12.26,12.52,34031664
2899.HK,2021-09-21,10.0,10.26,9.96,10.2,18159499
3968.HK,2021-09-21,56.75,58.05,55.55,57.65,55021176
BAC.US,2021-09-21,39.27,39.6,38.94,39.13,38271079
DIS.US,2021-09-21,180.32,182.23,169.03,171.17,23216027
PG.US,2021-09-21,142.98,144.53,142.88,143.11,6651313
BAC.US,2021-09-22,39.75,40.52,39.75,40.14,46261392
DIS.US,2021-09-22,172.94,175.34,171.66,173.65,14214525
PG.US,2021-09-22,143.82,144.35,142.86,143.6,6332653
0857.HK,2021-09-23,3.91,3.91,3.73,3.79,187701660
2318.HK,2021-09-23,53.0,55.85,53.0,53.1,62399848
2628.HK,2021-09-23,12.64,12.94,12.56,12.74,40077335
2899.HK,2021-09-23,10.64,10.78,9.93,10.12,60653941
3968.HK,2021-09-23,59.45,62.4,58.45,58.65,49734272
BAC.US,2021-09-23,40.76,41.88,40.65,41.69,49779810
DIS.US,2021-09-23,174.94,177.19,174.37,176.25,8052869
PG.US,2021-09-23,144.06,144.69,143.49,144.19,5171154
0857.HK,2021-09-24,3.81,3.9,3.76,3.8,197071041
2318.HK,2021-09-24,53.0,55.6,53.0,54.25,50368004
2628.HK,2021-09-24,12.8,13.04,12.62,12.7,24175650
2899.HK,2021-09-24,9.98,10.2,9.92,9.96,40671012
3968.HK,2021-09-24,57.8,59.85,57.8,58.25,25556845
BAC.US,2021-09-24,41.72,42.34,41.65,42.14,39042262
DIS.US,2021-09-24,175.3,176.7,175.08,176.0,5712778
PG.US,2021-09-24,143.8,144.45,143.09,143.55,5009363
0857.HK,2021-09-27,3.86,3.9,3.78,3.85,166252838
2318.HK,2021-09-27,54.3,56.45,54.3,55.0,48380818
