symbol,date,open,high,low,close,volume
000651.SZ,2021-09-16,25.582,25.872,24.972,24.992,774093
000858.SZ,2021-09-16,173.624,177.204,170.054,174.624,335387
002594.SZ,2021-09-16,83.919,85.126,80.379,80.536,220810
300750.SZ,2021-09-16,268.706,268.706,254.817,254.817,112604
510300.SH,2021-09-16,4.526,4.536,4.462,4.47,4293484
600036.SH,2021-09-16,41.982,42.582,40.962,41.452,629896
600276.SH,2021-09-16,44.981,45.531,44.461,45.231,558906
600519.SH,2021-09-16,1380.059,1421.059,1362.059,1415.129,45968
600900.SH,2021-09-16,15.311,15.821,15.231,15.361,389124
601318.SH,2021-09-16,35.966,36.626,35.856,36.156,591156
601857.SH,2021-09-16,4.121,4.161,3.831,3.921,5418312
601899.SH,2021-09-16,9.65,9.78,9.05,9.06,3905041
688981.SH,2021-09-16,56.08,56.66,55.1,55.11,24399382
000651.SZ,2021-09-17,24.872,25.162,24.222,25.042,724545
000858.SZ,2021-09-17,173.624,182.624,171.694,179.574,294397
002594.SZ,2021-09-17,81.202,82.536,80.366,81.909,139421
300750.SZ,2021-09-17,254.262,260.928,251.556,257.595,81938
510300.SH,2021-09-17,4.469,4.515,4.449,4.509,5139927
600036.SH,2021-09-17,41.532,42.292,41.252,42.002,420165
600276.SH,2021-09-17,44.911,46.681,44.781,46.031,635328
600519.SH,2021-09-17,1397.059,1482.659,1397.059,1463.059,55130
600900.SH,2021-09-17,15.371,16.081,15.371,15.911,561249
601318.SH,2021-09-17,36.046,36.426,34.866,35.326,927214
601857.SH,2021-09-17,3.881,4.041,3.601,3.801,4317243
601899.SH,2021-09-17,8.77,9.02,8.54,8.76,3748194
688981.SH,2021-09-17,55.01,55.88,55.01,55.65,17411708
000651.SZ,2021-09-22,24.352,24.702,24.222,24.572,368043
000858.SZ,2021-09-22,174.624,176.124,171.074,171.554,249090
002594.SZ,2021-09-22,79.536,80.682,78.212,79.269,163413
300750.SZ,2021-09-22,252.928,256.484,249.317,252.212,64239
510300.SH,2021-09-22,4.441,4.493,4.433,4.476,4916296
600036.SH,2021-09-22,39.432,40.732,38.852,40.162,1122596
600276.SH,2021-09-22,46.031,47.231,45.691,46.981,580513
600519.SH,2021-09-22,1435.889,1465.059,1412.059,1414.749,31743
600900.SH,2021-09-22,15.871,17.291,15.851,16.961,1142537
601318.SH,2021-09-22,34.146,34.726,33.946,34.426,723930
601857.SH,2021-09-22,3.731,4.251,3.681,4.211,4905012
601899.SH,2021-09-22,8.45,8.68,8.38,8.66,2761474
688981.SH,2021-09-22,55.1,56.2,55.05,55.25,22873427
000651.SZ,2021-09-23,24.742,25.262,24.662,24.892,517064
000858.SZ,2021-09-23,172.444,174.504,170.264,172.044,188113
002594.SZ,2021-09-23,81.479,82.709,79.829,80.176,149784
300750.SZ,2021-09-23,258.628,258.628,251.373,252.034,79714
510300.SH,2021-09-23,4.498,4.536,4.487,4.505,2869733
600036.SH,2021-09-23,40.252,41.282,39.362,39.592,861025
600276.SH,2021-09-23,47.081,47.871,46.361,46.871,586868
600519.SH,2021-09-23,1415.059,1432.939,1402.139,1412.059,30342
600900.SH,2021-09-23,17.051,17.531,16.651,16.831,1013649
601318.SH,2021-09-23,35.146,35.996,34.656,34.866,758045
601857.SH,2021-09-23,4.251,4.281,4.021,4.091,4337376
601899.SH,2021-09-23,8.74,8.8,8.47,8.53,2734842
688981.SH,2021-09-23,55.35,55.88,55.2,55.33,23203082
000651.SZ,2021-09-24,24.782,25.212,24.532,24.692,436109
000858.SZ,2021-09-24,171.524,181.624,170.684,178.144,350540
002594.SZ,2021-09-24,80.522,82.702,79.202,80.792,158267
300750.SZ,2021-09-24,253.078,262.878,250.651,255.917,102625
510300.SH,2021-09-24,4.509,4.556,4.499,4.512,4647712
600036.SH,2021-09-24,39.202,40.082,39.152,39.522,532039
600276.SH,2021-09-24,46.781,49.181,46.631,48.881,927197
600519.SH,2021-09-24,1405.059,1497.039,1405.059,1471.059,69537
600900.SH,2021-09-24,17.131,17.151,16.451,16.691,732813
601318.SH,2021-09-24,34.876,35.526,34.546,34.726,843584
601857.SH,2021-09-24,4.151,4.351,4.041,4.071,3700975
601899.SH,2021-09-24,8.47,8.58,8.26,8.29,2907512
688981.SH,2021-09-24,55.39,55.54,54.0,54.04,31236117
000651.SZ,2021-09-27,24.612,26.032,24.332,25.222,740250
000858.SZ,2021-09-27,185.244,198.194,185.244,198.194,760066
002594.SZ,2021-09-27,81.536,82.699,79.136,81.036,179991
300750.SZ,2021-09-27,258.706,266.928,255.812,263.428,144963
510300.SH,2021-09-27,4.526,4.579,4.502,4.544,3598936
600036.SH,2021-09-27,39.042,40.552,38.962,39.842,667905
600276.SH,2021-09-27,48.921,51.241,48.281,49.831,881591
600519.SH,2021-09-27,1527.059,1640.459,1527.059,1632.059,126869
600900.SH,2021-09-27,17.061,17.261,16.711,17.181,1019653
601318.SH,2021-09-27,34.546,35.886,34.466,35.646,990081
601857.SH,2021-09-27,4.201,4.461,4.161,4.311,5651826
601899.SH,2021-09-27,8.28,8.32,7.96,8.08,2913272
688981.SH,2021-09-27,54.61,55.58,54.34,54.66,25756435
000651.SZ,2021-09-28,24.882,25.312,24.502,24.892,466110
000858.SZ,2021-09-28,197.944,200.224,191.624,194.564,411459
002594.SZ,2021-09-28,80.836,81.476,78.966,79.156,162444
300750.SZ,2021-09-28,262.595,265.901,254.928,256.167,92225
510300.SH,2021-09-28,4.536,4.561,4.507,4.535,2636353
600036.SH,2021-09-28,39.852,41.732,39.842,41.172,709925
600276.SH,2021-09-28,50.581,50.581,48.411,49.471,542766
600519.SH,2021-09-28,1625.059,1637.059,1572.059,1599.119,49221
600900.SH,2021-09-28,17.091,17.661,16.721,17.391,904817
601318.SH,2021-09-28,35.636,36.276,35.166,35.906,779507
601857.SH,2021-09-28,4.401,4.591,4.191,4.591,5588387
601899.SH,2021-09-28,8.09,8.31,8.04,8.17,1921619
688981.SH,2021-09-28,54.67,54.93,53.66,54.03,18061946
000651.SZ,2021-09-29,25.602,26.382,25.242,26.082,1047373
000858.SZ,2021-09-29,194.514,198.854,190.324,196.304,311367
002594.SZ,2021-09-29,77.869,78.496,75.202,75.536,245555
300750.SZ,2021-09-29,253.706,262.484,252.595,257.323,93955
510300.SH,2021-09-29,4.503,4.53,4.459,4.502,5922611
600036.SH,2021-09-29,40.702,42.922,40.362,42.312,904610
600276.SH,2021-09-29,48.981,49.521,47.841,49.001,484391
600519.SH,2021-09-29,1586.059,1622.069,1562.959,1597.059,43291
600900.SH,2021-09-29,17.231,17.821,16.951,17.721,1122401
601318.SH,2021-09-29,35.416,36.186,35.166,35.836,631295
601857.SH,2021-09-29,4.391,4.391,3.961,4.141,5801199
601899.SH,2021-09-29,8.05,8.1,7.86,7.97,2246565
688981.SH,2021-09-29,53.65,56.65,53.43,55.54,45432281
000651.SZ,2021-09-30,26.072,26.242,25.512,25.532,673326
000858.SZ,2021-09-30,194.624,200.914,194.624,197.014,331906
002594.SZ,2021-09-30,76.269,80.102,75.936,80.039,225038
300750.SZ,2021-09-30,258.706,273.984,257.045,270.223,167142
510300.SH,2021-09-30,4.504,4.534,4.502,4.516,3129597
600036.SH,2021-09-30,42.152,42.182,40.852,41.202,586118
600276.SH,2021-09-30,49.021,49.711,48.521,49.311,411221
600519.SH,2021-09-30,1595.239,1627.279,1580.459,1607.059,40539
600900.SH,2021-09-30,17.801,17.881,17.031,17.601,987507
601318.SH,2021-09-30,35.946,35.946,34.876,35.006,680070
601857.SH,2021-09-30,4.041,4.171,3.891,4.111,3316225
601899.SH,2021-09-30,7.95,8.05,7.93,8.04,1234598
688981.SH,2021-09-30,55.45,55.98,54.92,55.2,17240431
000651.SZ,2021-10-08,25.662,26.742,25.152,26.592,826855
000858.SZ,2021-10-08,198.224,213.604,195.224,205.844,416279
002594.SZ,2021-10-08,82.862,83.529,80.202,81.202,194104
300750.SZ,2021-10-08,274.817,283.745,268.651,274.817,125169
510300.SH,2021-10-08,4.559,4.596,4.552,4.587,2446241
600036.SH,2021-10-08,40.772,41.832,40.772,41.682,645553
600276.SH,2021-10-08,49.941,53.801,49.161,53.271,1124309
600519.SH,2021-10-08,1599.479,1655.059,1584.289,1616.659,47452
600900.SH,2021-10-08,18.101,18.111,17.291,17.551,795368
601318.SH,2021-10-08,37.146,38.746,36.756,38.746,2180028
601857.SH,2021-10-08,4.461,4.571,4.231,4.381,3762908
601899.SH,2021-10-08,8.21,8.25,8.01,8.21,1519314
688981.SH,2021-10-08,55.79,56.2,55.21,55.77,17440173
000651.SZ,2021-10-11,26.772,26.902,26.322,26.632,558193
000858.SZ,2021-10-11,207.064,212.854,203.114,205.424,261466
002594.SZ,2021-10-11,81.236,84.569,79.536,82.119,211973
300750.SZ,2021-10-11,275.373,276.817,265.962,267.595,78309
510300.SH,2021-10-11,4.595,4.641,4.582,4.586,2603224
600036.SH,2021-10-11,42.192,44.932,42.192,43.752,971779
600276.SH,2021-10-11,53.271,54.621,52.091,52.691,739909
600519.SH,2021-10-11,1616.569,1666.959,1608.069,1644.179,37676
600900.SH,2021-10-11,17.701,17.771,17.001,17.221,587591
601318.SH,2021-10-11,38.746,40.036,38.586,39.386,1504500
601857.SH,2021-10-11,4.431,4.491,4.211,4.251,2638857
601899.SH,2021-10-11,8.68,9.15,8.57,8.99,5557334
688981.SH,2021-10-11,56.0,56.3,55.31,55.41,20386040
000651.SZ,2021-10-12,26.302,26.662,26.052,26.222,435443
000858.SZ,2021-10-12,204.624,207.624,200.634,206.964,203424
002594.SZ,2021-10-12,81.869,84.502,81.206,82.539,211651
300750.SZ,2021-10-12,267.917,268.495,255.306,258.706,95907
510300.SH,2021-10-12,4.568,4.579,4.494,4.534,3306068
600036.SH,2021-10-12,43.452,44.542,43.052,43.842,589373
600276.SH,2021-10-12,52.831,53.781,52.181,52.881,549721
600519.SH,2021-10-12,1643.059,1654.059,1619.479,1648.049,30606
600900.SH,2021-10-12,17.011,17.181,16.681,16.931,604423
601318.SH,2021-10-12,38.696,39.686,38.326,38.906,944656
601857.SH,2021-10-12,4.221,4.361,4.011,4.101,3008476
601899.SH,2021-10-12,8.93,8.93,8.48,8.77,3160280
688981.SH,2021-10-12,55.05,55.38,54.06,54.48,17892611
000651.SZ,2021-10-13,26.002,26.212,25.302,25.882,453317
000858.SZ,2021-10-13,205.994,222.224,204.824,217.114,347774
002594.SZ,2021-10-13,82.539,88.069,81.646,87.269,321978
300750.SZ,2021-10-13,258.706,268.428,258.151,268.295,76522
510300.SH,2021-10-13,4.526,4.606,4.524,4.59,2535737
600036.SH,2021-10-13,43.702,44.152,42.802,43.782,442557
600276.SH,2021-10-13,52.631,52.631,50.631,52.031,607656
600519.SH,2021-10-13,1647.059,1727.009,1639.059,1706.959,50143
600900.SH,2021-10-13,16.851,16.851,16.301,16.451,398106
601318.SH,2021-10-13,38.746,38.836,37.546,38.396,649889
601857.SH,2021-10-13,4.001,4.031,3.641,3.851,3831238
601899.SH,2021-10-13,8.66,8.73,8.51,8.66,1468955
688981.SH,2021-10-13,54.37,55.3,54.22,54.39,19559872
000651.SZ,2021-10-14,25.812,26.102,25.602,25.762,271457
000858.SZ,2021-10-14,215.624,222.304,213.784,217.624,240590
002594.SZ,2021-10-14,87.202,88.866,86.249,87.849,177799
300750.SZ,2021-10-14,269.817,275.306,269.817,273.873,78416
510300.SH,2021-10-14,4.584,4.609,4.552,4.563,1998087
600036.SH,2021-10-14,43.742,44.002,42.952,43.112,288996
600276.SH,2021-10-14,51.531,51.771,50.141,50.141,561685
600519.SH,2021-10-14,1705.989,1718.859,1673.059,1688.059,26623
600900.SH,2021-10-14,16.451,16.551,16.151,16.281,346879
601318.SH,2021-10-14,38.346,38.646,37.846,38.056,427006
601857.SH,2021-10-14,3.841,3.901,3.761,3.801,1937262
601899.SH,2021-10-14,8.95,9.29,8.95,9.08,3848600
688981.SH,2021-10-14,54.45,54.48,53.95,54.17,14540322
000651.SZ,2021-10-15,25.762,26.272,25.592,25.832,402258
000858.SZ,2021-10-15,213.424,215.504,207.634,211.944,302158
002594.SZ,2021-10-15,88.536,92.702,87.202,91.312,287845
300750.SZ,2021-10-15,273.706,299.745,271.539,294.262,229513
510300.SH,2021-10-15,4.56,4.598,4.541,4.587,2179701
600036.SH,2021-10-15,43.202,44.192,43.102,44.062,420358
600276.SH,2021-10-15,49.481,50.451,48.821,49.131,569812
600519.SH,2021-10-15,1667.159,1707.049,1667.159,1694.029,28561
600900.SH,2021-10-15,16.231,16.511,16.101,16.451,405824
601318.SH,2021-10-15,37.776,38.226,37.266,37.526,733017
601857.SH,2021-10-15,3.851,4.101,3.781,4.051,3019901
601899.SH,2021-10-15,9.15,9.9,9.15,9.41,5149372
688981.SH,2021-10-15,54.27,55.43,54.22,54.98,22230510
000651.SZ,2021-10-18,25.832,25.882,25.002,25.142,396045
000858.SZ,2021-10-18,202.574,202.574,190.124,192.944,522287
002594.SZ,2021-10-18,91.619,93.079,90.216,92.176,216214
300750.SZ,2021-10-18,300.928,308.84,294.817,308.717,186702
510300.SH,2021-10-18,4.584,4.585,4.497,4.529,2512605
600036.SH,2021-10-18,44.062,44.102,42.302,42.612,577945
600276.SH,2021-10-18,48.821,49.081,47.611,48.181,515125
600519.SH,2021-10-18,1665.059,1665.059,1564.059,1577.059,69652
600900.SH,2021-10-18,16.451,16.841,16.341,16.661,444546
601318.SH,2021-10-18,37.726,37.886,36.326,36.506,771971
601857.SH,2021-10-18,4.091,4.181,3.961,4.111,2036433
601899.SH,2021-10-18,9.65,9.75,9.13,9.51,5290884
688981.SH,2021-10-18,54.7,54.8,53.93,54.15,20687133
000651.SZ,2021-10-19,24.982,26.042,24.952,25.832,452124
000858.SZ,2021-10-19,190.624,198.504,190.624,196.594,271520
002594.SZ,2021-10-19,92.869,95.172,91.536,91.799,193858
300750.SZ,2021-10-19,313.706,319.806,303.151,306.262,150890
510300.SH,2021-10-19,4.521,4.581,4.518,4.576,2884698
600036.SH,2021-10-19,43.002,44.072,42.752,43.632,481693
600276.SH,2021-10-19,47.821,49.821,47.741,48.691,521175
600519.SH,2021-10-19,1577.059,1615.859,1576.939,1589.239,40315
600900.SH,2021-10-19,16.501,17.001,16.361,16.911,411164
601318.SH,2021-10-19,36.496,38.496,36.346,38.096,847527
601857.SH,2021-10-19,4.001,4.091,3.941,4.061,1800808
601899.SH,2021-10-19,9.35,9.83,9.22,9.75,4101103
688981.SH,2021-10-19,54.28,54.68,54.15,54.47,12487513
000651.SZ,2021-10-20,25.882,26.082,25.302,25.362,353147
000858.SZ,2021-10-20,198.124,199.824,194.504,197.564,171712
002594.SZ,2021-10-20,92.202,95.202,91.949,93.736,217045
300750.SZ,2021-10-20,308.706,318.917,304.262,305.651,124666
510300.SH,2021-10-20,4.581,4.603,4.552,4.562,1566963
600036.SH,2021-10-20,43.962,44.392,43.032,43.152,305710
600276.SH,2021-10-20,48.081,50.971,46.881,50.661,965917
600519.SH,2021-10-20,1610.059,1626.859,1583.069,1618.059,28663
600900.SH,2021-10-20,16.901,16.981,16.501,16.591,660221
601318.SH,2021-10-20,38.346,38.686,37.436,38.016,668239
601857.SH,2021-10-20,3.951,4.021,3.911,3.951,1612080
601899.SH,2021-10-20,9.33,9.41,9.11,9.27,4286706
688981.SH,2021-10-20,54.66,54.86,54.18,54.23,13404574
000651.SZ,2021-10-21,25.362,26.882,25.202,26.862,966087
000858.SZ,2021-10-21,198.624,200.574,196.624,198.614,157814
002594.SZ,2021-10-21,93.869,94.402,91.539,92.539,180626
300750.SZ,2021-10-21,305.928,310.928,300.373,309.262,101423
510300.SH,2021-10-21,4.561,4.608,4.543,4.584,2240855
600036.SH,2021-10-21,43.602,44.752,43.352,44.502,576587
600276.SH,2021-10-21,50.041,50.401,49.451,49.581,437411
600519.SH,2021-10-21,1618.159,1637.059,1606.059,1621.059,23019
600900.SH,2021-10-21,16.601,16.681,16.411,16.671,339622
601318.SH,2021-10-21,38.196,41.526,38.156,40.926,2110058
601857.SH,2021-10-21,4.011,4.081,3.951,3.981,1541798
601899.SH,2021-10-21,9.38,9.53,9.2,9.29,2840467
688981.SH,2021-10-21,54.1,54.26,53.54,53.72,17617345
000651.SZ,2021-10-22,26.882,27.842,26.862,27.452,1062089
000858.SZ,2021-10-22,200.324,206.544,198.634,202.654,226149
002594.SZ,2021-10-22,94.269,97.202,93.202,96.869,336549
300750.SZ,2021-10-22,314.806,314.806,306.112,312.262,110216
510300.SH,2021-10-22,4.591,4.653,4.591,4.617,3345973
600036.SH,2021-10-22,44.842,45.552,44.482,45.042,547151
600276.SH,2021-10-22,49.691,50.941,49.491,50.381,461962
600519.SH,2021-10-22,1632.059,1698.069,1631.059,1678.059,35963
600900.SH,2021-10-22,16.651,16.721,16.441,16.601,298440
601318.SH,2021-10-22,41.326,41.496,40.246,40.936,1026330
